#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SP1,2311.0,2,2120001.0,2.0,REP.MANT.EDIFICIS.- RGA,85000.0,105000.0
SG8,2410.0,2,2120001.0,2.0,MANTENIMENT EDIFICIS.- FORM. I OCUPAC.,6000.0,6000.0
SP1,3230.0,3,2120001.0,2.0,REP.MANT.EDIFICIS.- EDUCACIO,70000.0,70000.0
SP3,3300.0,3,2120001.0,2.0,REP.MANT.EDIFICIS.- CULTURA,12000.0,13000.0
SP3,3341.0,3,2120001.0,2.0,CONSERV. EDIFICI.- HDEZ SANZ,10000.0,10000.0
SP3,3400.0,3,2120001.0,2.0,REP.MANT.EDIFICIS.- ESPORTS,10000.0,15000.0
SG8,4310.0,2.0,2120001.0,2.0,MANTENIMENT EDIFICIS.- PPAL DE GUARDIA,10000.0,10000.0
SG8,4312.0,4,2120001.0,2.0,MANT. EDIFICIS.-MERCATS ,3000.0,3000.0
SG5,1300.0,1,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- POLICIA,10000.0,10000.0
CM2,1511.0,1,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- URBANISME I BC,2000.0,2000.0
CM1,1650.0,1,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- ENLLUM. PUB.,60000.0,72000.0
CM1,1710.0,1,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- PARCS I JARD.,3000.0,3000.0
CM1,1719.0,1,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.-EDIFICIS MPALS,8000.0,8000.0
SP1,2310.0,2,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.-ATEN. PRIMÀRIA,5000.0,5000.0
SP1,2311.0,2,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- R.G.A,70000.0,70000.0
SP1,3230.0,3,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- EDUCACIO,37000.0,37000.0
SP3,3300.0,3,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- SM CULTURA SC,10000.0,12000.0
SP3,3322.0,3,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- ARXIU,500.0,500.0
SP3,3400.0,3,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- ESPORTS,45000.0,50000.0
